gene chr start end
ENSG00000269227.1 1 1604713 1604714
ENSG00000189339.7 1 1624166 1624167
ENSG00000008128.18 1 1655765 1655766
ENSG00000227775.3 1 1655950 1655951
ENSG00000268575.1 1 1669126 1669127
ENSG00000215790.2 1 1677430 1677431
ENSG00000008130.11 1 1711895 1711896
ENSG00000078369.13 1 1822494 1822495
ENSG00000231050.1 1 1822909 1822910
ENSG00000169885.5 1 1846265 1846266
ENSG00000178821.8 1 1850711 1850712
ENSG00000067606.11 1 1981908 1981909
ENSG00000182873.4 1 2115827 2115828
ENSG00000269554.1 1 2121236 2121237
ENSG00000234396.3 1 2143961 2143962
ENSG00000243558.1 1 2144012 2144013
ENSG00000162585.12 1 2144158 2144159
ENSG00000203301.2 1 2145619 2145620
ENSG00000157933.9 1 2160133 2160134
ENSG00000238240.2 1 2283295 2283296
ENSG00000269896.1 1 2284258 2284259
ENSG00000272420.1 1 2295066 2295067
ENSG00000178642.5 1 2316810 2316811
ENSG00000116151.9 1 2323145 2323146
ENSG00000157916.14 1 2323266 2323267
ENSG00000157911.5 1 2345235 2345236
ENSG00000157881.9 1 2458038 2458039
ENSG00000272449.1 1 2477903 2477904
ENSG00000157873.13 1 2487077 2487078
ENSG00000238164.2 1 2488469 2488470
ENSG00000228037.1 1 2512998 2512999
ENSG00000157870.10 1 2517929 2517930
ENSG00000142606.11 1 2564480 2564481
ENSG00000256761.1 1 2978958 2978959
ENSG00000177133.6 1 2985000 2985001
ENSG00000142611.12 1 2985731 2985732
ENSG00000130762.10 1 3370989 3370990
ENSG00000162591.11 1 3528058 3528059
ENSG00000238260.1 1 3541306 3541307
ENSG00000158109.10 1 3541565 3541566
ENSG00000116213.11 1 3569324 3569325
ENSG00000227372.6 1 3663899 3663900
ENSG00000235169.3 1 3689351 3689352
ENSG00000266075.1 1 3699378 3699379
ENSG00000272153.1 1 3701571 3701572
ENSG00000130764.5 1 3713067 3713068
ENSG00000116198.8 1 3773777 3773778
ENSG00000169598.11 1 3773844 3773845
ENSG00000264428.1 1 3800627 3800628
ENSG00000198912.6 1 3816856 3816857
ENSG00000069424.10 1 6051525 6051526
ENSG00000131697.13 1 6052532 6052533
ENSG00000268332.1 1 6101398 6101399
ENSG00000158286.8 1 6265534 6265535
ENSG00000226944.1 1 6265839 6265840
ENSG00000116251.5 1 6269448 6269449
ENSG00000116237.11 1 6296031 6296032
ENSG00000158292.6 1 6321034 6321035
ENSG00000271746.1 1 6453614 6453615
ENSG00000097021.15 1 6454450 6454451
ENSG00000187017.10 1 6484847 6484848
ENSG00000215788.5 1 6526254 6526255
ENSG00000171680.16 1 6580120 6580121
ENSG00000162408.10 1 6614594 6614595
ENSG00000204859.7 1 6640060 6640061
ENSG00000116273.5 1 6673744 6673745
ENSG00000162413.12 1 6674666 6674667
ENSG00000041988.11 1 6684925 6684926
ENSG00000007923.11 1 6761983 6761984
ENSG00000237436.1 1 6844902 6844903
ENSG00000171735.14 1 6845383 6845384
ENSG00000225126.1 1 7501613 7501614
ENSG00000269978.1 1 7761029 7761030
ENSG00000049245.8 1 7831328 7831329
ENSG00000269925.1 1 7836442 7836443
ENSG00000049246.10 1 7844379 7844380
ENSG00000236266.1 1 7887401 7887402
ENSG00000049247.9 1 7913571 7913572
ENSG00000116288.8 1 8014350 8014351
ENSG00000116285.8 1 8086367 8086368
ENSG00000162426.10 1 8377885 8377886
ENSG00000232912.1 1 8484704 8484705
ENSG00000142599.13 1 8877701 8877702
ENSG00000230679.1 1 8938893 8938894
ENSG00000074800.9 1 8939307 8939308
ENSG00000142583.13 1 9148536 9148537
ENSG00000180758.10 1 9189228 9189229
ENSG00000234546.2 1 9242262 9242263
ENSG00000228526.2 1 9262677 9262678
ENSG00000049239.8 1 9294833 9294834
ENSG00000171621.9 1 9352938 9352939
ENSG00000235263.1 1 9563529 9563530
ENSG00000171612.6 1 9599540 9599541
ENSG00000231181.1 1 9636484 9636485
ENSG00000188807.8 1 9648931 9648932
ENSG00000171608.11 1 9711789 9711790
ENSG00000231789.2 1 9747612 9747613
ENSG00000171603.12 1 9884583 9884584
ENSG00000223989.1 1 9908375 9908376
ENSG00000178585.10 1 9970393 9970394
ENSG00000162441.7 1 10003464 10003465
ENSG00000173614.9 1 10003485 10003486
ENSG00000241326.1 1 10043198 10043199
ENSG00000162444.11 1 10057263 10057264
ENSG00000130939.14 1 10092889 10092890
ENSG00000054523.12 1 10270862 10270863
ENSG00000264501.1 1 10366522 10366523
ENSG00000142657.16 1 10458648 10458649
ENSG00000175279.17 1 10490158 10490159
ENSG00000251503.3 1 10490158 10490159
ENSG00000241563.2 1 10509775 10509776
ENSG00000203469.2 1 10518611 10518612
ENSG00000142655.8 1 10532344 10532345
ENSG00000160049.7 1 10532582 10532583
ENSG00000272078.1 1 10699297 10699298
ENSG00000130940.10 1 10856706 10856707
ENSG00000120948.11 1 11072413 11072414
ENSG00000271895.1 1 11089715 11089716
ENSG00000009724.12 1 11107289 11107290
ENSG00000116649.5 1 11120080 11120081
ENSG00000226849.1 1 11128527 11128528
ENSG00000230337.1 1 11159731 11159732
ENSG00000171824.9 1 11159937 11159938
ENSG00000171819.4 1 11249397 11249398
ENSG00000198793.8 1 11322563 11322564
ENSG00000120942.9 1 11333262 11333263
ENSG00000132879.9 1 11714431 11714432
ENSG00000116661.9 1 11715841 11715842
ENSG00000116663.6 1 11724180 11724181
ENSG00000116670.10 1 11751706 11751707
ENSG00000177674.11 1 11796140 11796141
ENSG00000215910.3 1 11821843 11821844
ENSG00000011021.17 1 11866206 11866207
ENSG00000177000.6 1 11866976 11866977
ENSG00000242349.1 1 11901073 11901074
ENSG00000116685.11 1 11986484 11986485
ENSG00000083444.12 1 11994261 11994262
ENSG00000116688.12 1 12040237 12040238
ENSG00000116691.6 1 12079522 12079523
ENSG00000202461.1 1 12084180 12084181
ENSG00000120949.10 1 12123433 12123434
ENSG00000028137.12 1 12227059 12227060
ENSG00000048707.9 1 12290123 12290124
ENSG00000239149.1 1 12567299 12567300
ENSG00000229484.1 1 12587765 12587766
ENSG00000221340.1 1 12630099 12630100
ENSG00000162496.4 1 12677736 12677737
ENSG00000272482.1 1 12679249 12679250
ENSG00000204518.2 1 12704565 12704566
ENSG00000162494.5 1 13840542 13840543
ENSG00000162493.12 1 13909959 13909960
ENSG00000116731.18 1 14026692 14026693
ENSG00000189337.11 1 14925199 14925200
ENSG00000175147.7 1 15478959 15478960
ENSG00000171729.9 1 15479027 15479028
ENSG00000142634.8 1 15736390 15736391
ENSG00000132906.13 1 15853028 15853029
ENSG00000116138.8 1 15853307 15853308
ENSG00000235084.2 1 15931076 15931077
ENSG00000197312.7 1 15943994 15943995
ENSG00000215695.1 1 15986363 15986364
ENSG00000116786.7 1 16010826 16010827
ENSG00000162461.7 1 16062899 16062900
ENSG00000237938.1 1 16063390 16063391
ENSG00000224459.1 1 16076390 16076391
ENSG00000162458.8 1 16083101 16083102
ENSG00000233954.4 1 16134193 16134194
ENSG00000178715.7 1 16154723 16154724
ENSG00000065526.6 1 16174358 16174359
ENSG00000179743.2 1 16174641 16174642
ENSG00000116809.7 1 16302626 16302627
ENSG00000186510.7 1 16345369 16345370
ENSG00000173641.13 1 16346088 16346089
ENSG00000142627.9 1 16482581 16482582
ENSG00000234166.1 1 16524348 16524349
ENSG00000142632.12 1 16539103 16539104
ENSG00000204377.3 1 16556037 16556038
ENSG00000132881.7 1 16563656 16563657
ENSG00000233929.1 1 16567892 16567893
ENSG00000037637.6 1 16678948 16678949
ENSG00000055070.12 1 16679069 16679070
ENSG00000226457.1 1 16696024 16696025
ENSG00000187144.7 1 16763918 16763919
ENSG00000157191.15 1 16767166 16767167
ENSG00000226029.1 1 16787442 16787443
ENSG00000080947.10 1 16825751 16825752
ENSG00000219481.6 1 16940056 16940057
ENSG00000215908.5 1 16971177 16971178
ENSG00000186301.7 1 16972068 16972069
ENSG00000236698.1 1 17012549 17012550
ENSG00000058453.12 1 17066767 17066768
ENSG00000235241.1 1 17215589 17215590
ENSG00000238142.1 1 17216143 17216144
ENSG00000226526.1 1 17305420 17305421
ENSG00000117122.9 1 17307329 17307330
ENSG00000159363.13 1 17338422 17338423
ENSG00000117118.5 1 17380664 17380665
ENSG00000117115.8 1 17445947 17445948
ENSG00000159339.9 1 17634689 17634690
ENSG00000227751.1 1 17733255 17733256
ENSG00000266727.1 1 17740189 17740190
ENSG00000179051.9 1 17766219 17766220
ENSG00000074964.12 1 17866329 17866330
ENSG00000117154.7 1 18434239 18434240
ENSG00000159423.12 1 19229274 19229275
ENSG00000255275.3 1 19247614 19247615
ENSG00000169991.6 1 19283179 19283180
ENSG00000272084.1 1 19402004 19402005
ENSG00000266098.1 1 19410144 19410145
ENSG00000127481.10 1 19536769 19536770
ENSG00000230424.1 1 19536994 19536995
ENSG00000053372.4 1 19578032 19578033
ENSG00000127463.9 1 19578045 19578046
ENSG00000162482.4 1 19615743 19615744
ENSG00000270728.1 1 19623573 19623574
ENSG00000053371.8 1 19638639 19638640
ENSG00000040487.8 1 19638819 19638820
ENSG00000077549.13 1 19812065 19812066
ENSG00000270136.1 1 19923472 19923473
ENSG00000173436.9 1 19923476 19923477
ENSG00000226396.1 1 19934607 19934608
ENSG00000158747.9 1 19967047 19967048
ENSG00000162542.9 1 20126437 20126438
ENSG00000235434.1 1 20140859 20140860
ENSG00000178828.5 1 20141770 20141771
ENSG00000169914.5 1 20209005 20209006
ENSG00000188257.6 1 20306931 20306932
ENSG00000127472.6 1 20354671 20354672
ENSG00000117215.10 1 20446049 20446050
ENSG00000162543.5 1 20512577 20512578
ENSG00000225986.1 1 20512978 20512979
ENSG00000162545.5 1 20812712 20812713
ENSG00000090432.5 1 20834653 20834654
ENSG00000183114.6 1 20878931 20878932
ENSG00000158825.5 1 20915440 20915441
ENSG00000158828.5 1 20959947 20959948
ENSG00000257033.1 1 20977206 20977207
ENSG00000117242.7 1 20978685 20978686
ENSG00000244038.5 1 20987999 20988000
ENSG00000117245.8 1 21044509 21044510
ENSG00000203394.2 1 21069479 21069480
ENSG00000127483.13 1 21113815 21113816
ENSG00000075151.15 1 21503376 21503377
ENSG00000117298.10 1 21671996 21671997
ENSG00000227001.2 1 21754459 21754460
ENSG00000187952.8 1 21754795 21754796
ENSG00000142794.14 1 21766620 21766621
ENSG00000162551.9 1 21835857 21835858
ENSG00000090686.11 1 22110098 22110099
ENSG00000187942.7 1 22138757 22138758
ENSG00000232037.2 1 22234590 22234591
ENSG00000142798.12 1 22263789 22263790
ENSG00000218510.3 1 22351680 22351681
ENSG00000070831.11 1 22379119 22379120
ENSG00000162552.10 1 22470461 22470462
ENSG00000184677.12 1 22778343 22778344
ENSG00000173372.12 1 22962998 22962999
ENSG00000159189.7 1 22970122 22970123
ENSG00000173369.11 1 22979254 22979255
ENSG00000133216.12 1 23037331 23037332
ENSG00000004487.11 1 23345940 23345941
ENSG00000240553.1 1 23414550 23414551
ENSG00000169641.9 1 23504300 23504301
ENSG00000261326.2 1 23613244 23613245
ENSG00000125944.14 1 23670828 23670829
ENSG00000249087.3 1 23695489 23695490
ENSG00000125945.10 1 23695934 23695935
ENSG00000201405.1 1 23696746 23696747
ENSG00000204219.5 1 23751232 23751233
ENSG00000088280.14 1 23811060 23811061
ENSG00000117318.8 1 23886284 23886285
ENSG00000142676.8 1 24018268 24018269
ENSG00000011007.8 1 24069644 24069645
ENSG00000236810.1 1 24104776 24104777
ENSG00000057757.5 1 24104894 24104895
ENSG00000011009.6 1 24117459 24117460
ENSG00000117308.10 1 24127270 24127271
ENSG00000117305.10 1 24165109 24165110
ENSG00000179163.11 1 24194783 24194784
ENSG00000189266.7 1 24285598 24285599
ENSG00000188529.10 1 24307416 24307417
ENSG00000142677.3 1 24469610 24469611
ENSG00000001461.12 1 24742283 24742284
ENSG00000001460.13 1 24743423 24743424
ENSG00000117602.7 1 24829386 24829387
ENSG00000264443.1 1 24882514 24882515
ENSG00000133226.12 1 24958206 24958207
ENSG00000169504.10 1 25071847 25071848
ENSG00000020633.14 1 25291611 25291612
ENSG00000117614.5 1 25558992 25558993
ENSG00000272432.1 1 25574327 25574328
ENSG00000259984.1 1 25663955 25663956
ENSG00000183726.6 1 25664407 25664408
ENSG00000117616.13 1 25664703 25664704
ENSG00000238084.3 1 25725202 25725203
ENSG00000204178.5 1 25757387 25757388
ENSG00000157978.7 1 25870070 25870071
ENSG00000225643.1 1 25907968 25907969
ENSG00000117643.10 1 25943958 25943959
ENSG00000162430.12 1 26126666 26126667
ENSG00000255054.3 1 26137960 26137961
ENSG00000117640.13 1 26145130 26145131
ENSG00000228172.1 1 26146262 26146263
ENSG00000223474.2 1 26147287 26147288
ENSG00000272478.1 1 26158624 26158625
ENSG00000127423.6 1 26185902 26185903
ENSG00000236528.1 1 26186103 26186104
ENSG00000182749.5 1 26197743 26197744
ENSG00000117632.16 1 26233481 26233482
ENSG00000158006.9 1 26324647 26324648
ENSG00000175087.5 1 26437663 26437664
ENSG00000197245.4 1 26485510 26485511
ENSG00000142684.7 1 26496361 26496362
ENSG00000236782.1 1 26498311 26498312
ENSG00000130695.9 1 26560690 26560691
ENSG00000142669.9 1 26605666 26605667
ENSG00000169442.4 1 26644447 26644448
ENSG00000158062.16 1 26644853 26644854
ENSG00000176083.13 1 26701012 26701013
ENSG00000117682.12 1 26758772 26758773
ENSG00000223583.1 1 26781677 26781678
ENSG00000225891.1 1 26793772 26793773
ENSG00000198830.6 1 26798940 26798941
ENSG00000117676.9 1 26856251 26856252
ENSG00000117713.13 1 27022523 27022524
ENSG00000060642.6 1 27113962 27113963
ENSG00000204160.7 1 27153200 27153201
ENSG00000175793.10 1 27189632 27189633
ENSG00000226698.1 1 27202623 27202624
ENSG00000142751.10 1 27216787 27216788
ENSG00000090273.9 1 27226728 27226729
ENSG00000198746.8 1 27226956 27226957
ENSG00000253368.3 1 27320197 27320198
ENSG00000158246.7 1 27339326 27339327
ENSG00000090020.6 1 27493471 27493472
ENSG00000214973.3 1 27527963 27527964
ENSG00000225159.1 1 27533420 27533421
ENSG00000142784.11 1 27561006 27561007
ENSG00000186501.10 1 27648650 27648651
ENSG00000241547.1 1 27651819 27651820
ENSG00000142765.13 1 27668512 27668513
ENSG00000142733.10 1 27693382 27693383
ENSG00000142748.8 1 27701314 27701315
ENSG00000181773.6 1 27719147 27719148
ENSG00000158195.6 1 27816668 27816669
ENSG00000126705.9 1 27930941 27930942
ENSG00000000938.8 1 27961787 27961788
ENSG00000235912.1 1 27975929 27975930
ENSG00000225886.1 1 27995978 27995979
ENSG00000126709.10 1 27998728 27998729
ENSG00000009780.11 1 28052489 28052490
ENSG00000231344.1 1 28065601 28065602
ENSG00000117758.9 1 28099693 28099694
ENSG00000269971.1 1 28100368 28100369
ENSG00000270031.1 1 28146493 28146494
ENSG00000117751.13 1 28157288 28157289
ENSG00000268552.1 1 28177254 28177255
ENSG00000130775.11 1 28199054 28199055
ENSG00000117748.5 1 28241256 28241257
ENSG00000130768.10 1 28261503 28261504
ENSG00000158156.7 1 28285972 28285973
ENSG00000227050.1 1 28286703 28286704
ENSG00000158161.11 1 28415206 28415207
ENSG00000228589.2 1 28422932 28422933
ENSG00000169403.7 1 28520446 28520447
ENSG00000269804.1 1 28527069 28527070
ENSG00000215902.1 1 28527151 28527152
ENSG00000126698.6 1 28559535 28559536
ENSG00000130770.13 1 28562619 28562620
ENSG00000270605.1 1 28567963 28567964
ENSG00000130766.4 1 28586037 28586038
ENSG00000130772.9 1 28655512 28655513
ENSG00000204138.8 1 28696113 28696114
ENSG00000180198.11 1 28832454 28832455
ENSG00000242125.2 1 28832491 28832492
ENSG00000200087.1 1 28835070 28835071
ENSG00000180098.5 1 28879596 28879597
ENSG00000221539.1 1 28905333 28905334
ENSG00000197989.9 1 28909494 28909495
ENSG00000188060.6 1 28918711 28918712
ENSG00000120656.7 1 28969596 28969597
ENSG00000229388.1 1 28969739 28969740
ENSG00000270103.2 1 28975111 28975112
ENSG00000162419.8 1 28995243 28995244
ENSG00000198492.10 1 29063132 29063133
ENSG00000233427.1 1 29203847 29203848
ENSG00000159023.14 1 29213602 29213603
ENSG00000225616.2 1 29309119 29309120
ENSG00000253304.1 1 29450446 29450447
ENSG00000227637.1 1 29479000 29479001
ENSG00000116350.11 1 29508498 29508499
ENSG00000116353.11 1 29557453 29557454
ENSG00000060656.15 1 29563027 29563028
ENSG00000186056.5 1 31191350 31191351
ENSG00000264773.1 1 31212078 31212079
ENSG00000162511.7 1 31230666 31230667
ENSG00000223382.3 1 31297074 31297075
ENSG00000162512.11 1 31381607 31381608
ENSG00000134644.11 1 31538837 31538838
ENSG00000215900.4 1 31568404 31568405
ENSG00000229447.2 1 31736527 31736528
ENSG00000060688.8 1 31769661 31769662
ENSG00000121766.10 1 31769841 31769842
ENSG00000229044.1 1 31819645 31819646
ENSG00000121769.3 1 31849696 31849697
ENSG00000168528.7 1 31882411 31882412
ENSG00000268950.1 1 31902613 31902614
ENSG00000142910.11 1 32042115 32042116
ENSG00000235790.3 1 32109649 32109650
ENSG00000162517.8 1 32110496 32110497
ENSG00000084636.13 1 32169919 32169920
ENSG00000121753.8 1 32230493 32230494
ENSG00000134668.8 1 32281651 32281652
ENSG00000212673.1 1 32379173 32379174
ENSG00000184007.13 1 32410456 32410457
ENSG00000121774.13 1 32479429 32479430
ENSG00000121775.13 1 32537631 32537632
ENSG00000025800.9 1 32573638 32573639
ENSG00000250135.1 1 32636333 32636334
ENSG00000084652.11 1 32645286 32645287
ENSG00000160050.10 1 32665986 32665987
ENSG00000160051.7 1 32671235 32671236
ENSG00000224066.1 1 32672414 32672415
ENSG00000222046.2 1 32674694 32674695
ENSG00000084623.7 1 32687528 32687529
ENSG00000160055.15 1 32687971 32687972
ENSG00000220785.3 1 32707220 32707221
ENSG00000183615.5 1 32712833 32712834
ENSG00000182866.12 1 32716839 32716840
ENSG00000116478.7 1 32757686 32757687
ENSG00000175130.6 1 32801979 32801980
ENSG00000162526.6 1 32817121 32817122
ENSG00000225828.1 1 32829878 32829879
ENSG00000160058.14 1 32860331 32860332
ENSG00000254553.1 1 32930657 32930658
ENSG00000160062.10 1 33005027 33005028
ENSG00000176261.11 1 33116503 33116504
ENSG00000162521.14 1 33116742 33116743
ENSG00000162520.10 1 33169196 33169197
ENSG00000162522.6 1 33207485 33207486
ENSG00000116497.13 1 33282367 33282368
ENSG00000134684.6 1 33283753 33283754
ENSG00000160097.11 1 33338082 33338083
ENSG00000121905.5 1 33351594 33351595
ENSG00000121900.14 1 33367038 33367039
ENSG00000116514.12 1 33430285 33430286
ENSG00000004455.12 1 33546596 33546597
ENSG00000142920.12 1 33546704 33546705
ENSG00000116525.9 1 33647659 33647660
ENSG00000160094.10 1 33722145 33722146
ENSG00000256142.1 1 33764974 33764975
ENSG00000225313.2 1 33772966 33772967
ENSG00000266239.1 1 33798092 33798093
ENSG00000222112.1 1 33802464 33802465
ENSG00000134686.12 1 33896652 33896653
ENSG00000121903.10 1 33938245 33938246
ENSG00000187513.8 1 35258598 35258599
ENSG00000230163.1 1 35316294 35316295
ENSG00000163866.8 1 35325416 35325417
ENSG00000241014.1 1 35450913 35450914
ENSG00000243749.1 1 35450953 35450954
ENSG00000271741.1 1 35497341 35497342
ENSG00000163867.12 1 35497568 35497569
ENSG00000197056.5 1 35525386 35525387
ENSG00000116560.6 1 35658748 35658749
ENSG00000146463.7 1 35734567 35734568
ENSG00000229994.1 1 35816322 35816323
ENSG00000227409.1 1 35831677 35831678
ENSG00000020129.11 1 36023073 36023074
ENSG00000142687.13 1 36023550 36023551
ENSG00000116819.6 1 36038970 36038971
ENSG00000239636.1 1 36043329 36043330
ENSG00000126067.7 1 36107444 36107445
ENSG00000142686.7 1 36185072 36185073
ENSG00000134698.10 1 36273772 36273773
ENSG00000092847.6 1 36335408 36335409
ENSG00000271914.1 1 36395715 36395716
ENSG00000126070.14 1 36396318 36396319
ENSG00000116863.10 1 36554475 36554476
ENSG00000171812.6 1 36590820 36590821
ENSG00000054116.7 1 36615097 36615098
ENSG00000116871.11 1 36621179 36621180
ENSG00000054118.9 1 36690016 36690017
ENSG00000214193.5 1 36771987 36771988
ENSG00000116883.8 1 36789334 36789335
ENSG00000142694.6 1 36789754 36789755
ENSG00000196182.6 1 36851496 36851497
ENSG00000181817.5 1 36863492 36863493
ENSG00000201448.1 1 36884178 36884179
ENSG00000116885.14 1 36916085 36916086
ENSG00000116898.7 1 36930037 36930038
ENSG00000119535.13 1 36948878 36948879
ENSG00000233621.1 1 37940011 37940012
ENSG00000163874.8 1 37940152 37940153
ENSG00000163875.11 1 37980374 37980375
ENSG00000163877.9 1 38019902 38019903
ENSG00000237749.3 1 38021842 38021843
ENSG00000163879.9 1 38022519 38022520
ENSG00000134697.8 1 38061535 38061536
ENSG00000169218.9 1 38100594 38100595
ENSG00000116922.10 1 38157913 38157914
ENSG00000185090.10 1 38259473 38259474
ENSG00000233728.1 1 38266550 38266551
ENSG00000197982.12 1 38272650 38272651
ENSG00000196449.3 1 38273856 38273857
ENSG00000188786.9 1 38325291 38325292
ENSG00000230955.1 1 38326368 38326369
ENSG00000252448.1 1 38349908 38349909
ENSG00000204084.8 1 38412728 38412729
ENSG00000183431.7 1 38456592 38456593
ENSG00000212541.1 1 38457133 38457134
ENSG00000183386.5 1 38471277 38471278
ENSG00000183520.7 1 38474929 38474930
ENSG00000116954.7 1 39325494 39325495
ENSG00000228436.2 1 39325671 39325672
ENSG00000214114.4 1 39347288 39347289
ENSG00000131233.8 1 39347288 39347289
ENSG00000158315.6 1 39407470 39407471
ENSG00000174574.11 1 39456894 39456895
ENSG00000168653.6 1 39491989 39491990
ENSG00000127603.19 1 39546987 39546988
ENSG00000255103.1 1 39876150 39876151
ENSG00000183682.7 1 39957317 39957318
ENSG00000182109.3 1 40011858 40011859
ENSG00000243970.1 1 40024378 40024379
ENSG00000228060.1 1 40030831 40030832
ENSG00000201457.1 1 40033179 40033180
ENSG00000090621.9 1 40042461 40042462
ENSG00000163909.6 1 40105616 40105617
ENSG00000084072.12 1 40157853 40157854
ENSG00000116985.6 1 40254532 40254533
ENSG00000043514.11 1 40349182 40349183
ENSG00000116990.9 1 40367927 40367928
ENSG00000168389.13 1 40420801 40420802
ENSG00000228477.1 1 40428351 40428352
ENSG00000131236.12 1 40505904 40505905
ENSG00000131238.12 1 40563374 40563375
ENSG00000117000.8 1 40627044 40627045
ENSG00000259943.1 1 40723638 40723639
ENSG00000084073.4 1 40723778 40723779
ENSG00000049089.9 1 40783487 40783488
ENSG00000084070.7 1 40810521 40810522
ENSG00000187815.5 1 40942886 40942887
ENSG00000238287.1 1 40974332 40974333
ENSG00000164002.7 1 40974412 40974413
ENSG00000227278.1 1 40980728 40980729
ENSG00000238186.1 1 40982845 40982846
ENSG00000117010.11 1 40997232 40997233
ENSG00000117016.5 1 41131328 41131329
ENSG00000066136.15 1 41157319 41157320
ENSG00000272145.1 1 41157737 41157738
ENSG00000117013.10 1 41249683 41249684
ENSG00000179862.5 1 41328017 41328018
ENSG00000171793.9 1 41445006 41445007
ENSG00000010803.12 1 41707825 41707826
ENSG00000204060.4 1 41827593 41827594
ENSG00000229901.1 1 41841340 41841341
ENSG00000127124.9 1 42501595 42501596
ENSG00000198815.4 1 42801547 42801548
ENSG00000227527.2 1 42804046 42804047
ENSG00000127125.7 1 42921787 42921788
ENSG00000066185.8 1 42921937 42921938
ENSG00000236876.2 1 42966066 42966067
ENSG00000171960.6 1 43124095 43124096
ENSG00000065978.13 1 43148097 43148098
ENSG00000117385.11 1 43232754 43232755
ENSG00000164008.9 1 43232939 43232940
ENSG00000228452.1 1 43242460 43242461
ENSG00000164010.9 1 43282794 43282795
ENSG00000177868.7 1 43282953 43282954
ENSG00000228192.3 1 43312092 43312093
ENSG00000164011.13 1 43312279 43312280
ENSG00000225099.1 1 43368902 43368903
ENSG00000117394.15 1 43424529 43424530
ENSG00000243710.3 1 43637819 43637820
ENSG00000117395.6 1 43736606 43736607
ENSG00000066056.9 1 43766663 43766664
ENSG00000234694.1 1 43824328 43824329
ENSG00000117399.9 1 43824625 43824626
ENSG00000066322.8 1 43833695 43833696
ENSG00000229431.1 1 43850783 43850784
ENSG00000159479.12 1 43855478 43855479
ENSG00000198198.9 1 43855552 43855553
ENSG00000229372.1 1 43914314 43914315
ENSG00000229348.1 1 43919597 43919598
ENSG00000178922.12 1 43919659 43919660
ENSG00000142949.12 1 43990857 43990858
ENSG00000066135.8 1 44115828 44115829
ENSG00000126091.15 1 44171494 44171495
ENSG00000236200.1 1 44173808 44173809
ENSG00000237950.1 1 44412222 44412223
ENSG00000117408.6 1 44412610 44412611
ENSG00000132768.9 1 44435671 44435672
ENSG00000117410.9 1 44440158 44440159
ENSG00000117411.12 1 44444614 44444615
ENSG00000159214.8 1 44457030 44457031
ENSG00000196517.7 1 44497138 44497139
ENSG00000233514.1 1 44588183 44588184
ENSG00000178028.9 1 44679126 44679127
ENSG00000117419.10 1 44820931 44820932
ENSG00000187147.13 1 44870865 44870866
